id,label,category,description
system_thinking,System Thinking,core_concept,Modeling wholes before optimizing parts
human_consciousness,Human Consciousness,core_concept,The nature of subjective experience and awareness
symbolism,Symbolism,core_concept,Compressed meaning carried through signs and forms
emotional_integration,Emotional Integration,human_experience,Processing and integrating emotional experience
recursive_learning,Recursive Learning,core_concept,Learning that deepens by returning to the same idea at higher resolution
wonder,Wonder,core_concept,The question that precedes awe
awe,Awe,core_concept,When the question dissolves into direct experience
identity_through_craft,Identity Through Craft,core_concept,The self revealed and built through what you make
creative_systems,Creative Systems,core_concept,Creativity understood as emergent output of constrained systems
observation_as_superpower,Observation as a Superpower,core_concept,Watching before acting as a primary cognitive tool
human_meaning_making,Human Meaning-Making,core_concept,How humans construct meaning from experience
honesty,Honesty,core_concept,Truth-telling as a foundational practice
complexity_theory,Complexity Theory,core_concept,The study of systems with emergent unpredictable behavior
pattern_recognition,Pattern Recognition,core_concept,The ability to detect structure across domains
emergent_behavior,Emergent Behavior,core_concept,Properties that arise from system interactions not individual parts
music_composition,Music Composition,music,The practice of creating original music
songwriting,Songwriting,music,Writing songs as a form of emotional truth-telling
emotional_storytelling_through_music,Emotional Storytelling Through Music,music,Using music as a narrative vehicle for felt experience
introspection,Introspection,human_experience,Turning inward as a primary mode of knowing
product_thinking,Product Thinking,product,Modeling problems through the lens of users and outcomes
ai_assisted_creativity,AI-Assisted Creativity,ai,Using AI as a collaborator in creative work
frontend_architecture,Frontend Architecture,engineering,The structural design of frontend systems
symbolic_lyricism,Symbolic Lyricism,music,Lyrics that carry meaning beyond their literal content
mysticism,Mysticism,philosophy,Direct experiential approaches to ultimate reality
deep_conversations,Deep Conversations,human_experience,Conversations that go somewhere real
radical_honesty,Radical Honesty,human_experience,Honesty without self-protection
building_things_that_feel_alive,Building Things That Feel Alive,core_concept,Creating work that responds and breathes
performance_over_perfection,Performance Over Perfection,music,Shipping and playing over endless refinement
atmospheric_production,Atmospheric Production,music,Production that creates immersive emotional environments
fingerpicked_nylon_guitar,Fingerpicked Nylon Guitar,music,Classical fingerpicking technique on nylon string guitar
piano_voicings,Piano Voicings,music,The art of chord voicing on piano
modal_interchange,Modal Interchange,music,Borrowing chords from parallel modes
rhythmic_complexity,Rhythmic Complexity,music,Layered and intricate rhythmic structures
polyrhythms,Polyrhythms,music,Multiple simultaneous rhythmic patterns
vocal_layering,Vocal Layering,music,Building texture through multiple vocal tracks
ambient_textures,Ambient Textures,music,Sound design focused on atmosphere over melody
heavy_but_melodic,Heavy-but-Melodic Music,music,The coexistence of heaviness and melody
live_performance_design,Live Performance Design,music,Designing the experience of live performance
album_sequencing,Album Sequencing,music,The art of ordering tracks for emotional arc
alliteration_in_lyrics,Alliteration in Lyrics,music,Sound patterns in lyrics as micro-symbols
sound_design,Sound Design,music,Crafting and shaping sound as a compositional element
music_as_medicine,Music as Medicine,music,Music as a tool for emotional and psychological healing
music_as_identity,Music as Identity,music,Music as a primary vehicle for self-expression and identity
sonic_symbolism,Sonic Symbolism,music,Timbre and texture as carriers of meaning
guitar_tone_shaping,Guitar Tone Shaping,music,Sculpting the character of electric guitar sound
